Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Slotkin	Elissa		E	MI07	2025	1/17/2025	40003710
Hon.	Smith	Adrian		P	NE03	2025	2/13/2025	8220764
	Smith	Robert Jeffrey		C	CA24	2025	4/2/2025	10064644
Hon.	Spanberger	Abigail		T	VA07	2025	1/11/2025	10063255
	Sparrow	Steven		C	CA29	2025	1/23/2025	10063299
Hon.	Spartz	Victoria		P	IN05	2025	2/10/2025	20026754
Hon.	Steel	Michelle		T	CA45	2025	3/23/2025	10063281
Hon.	Steel	Michelle		X	CA45	2025	1/23/2025	30022480
	Stern	Eli		C	CA49	2025	3/7/2025	10063478
Hon.	Steube	Greg		P	FL17	2025	4/4/2025	20024927
	Stewart	Trapper Gavin Alexander		C	IN07	2025	3/4/2025	10063458
Dr.	Swift	Paula Williams		C	CA40	2025	4/8/2025	10064663
	Talkington	Michelle		X	MD05	2025	3/10/2025	30022504
Hon.	Taylor	David J.		P	OH02	2025	4/3/2025	20029060
Hon.	Taylor	David J.		P	OH02	2025	4/3/2025	20029069
	Tomkins	Anthony		C	UT01	2025	1/29/2025	10063327
	Tomkins	Anthony		D	UT01	2025	3/3/2025	40003718
Hon.	Trone	David		X	MD06	2025	1/14/2025	30022472
Mr.	Truman	Benedict	II	C	GA04	2025	3/22/2025	10063583
	Turner	Sylvester		C	TX18	2025	1/30/2025	10063318
	Tyler	John Wesley		C	CA04	2025	1/16/2025	10063277
	Tyler	John Wesley		C	CA04	2025	4/2/2025	10064643
	Varet	Esther Kim		X	CA40	2025	2/25/2025	30022482
	Vartan	Gregory	III	X	NJ07	2025	3/19/2025	30022509
Hon.	Wagner	Ann		P	MO02	2025	2/14/2025	8220765
Hon.	Waltz	Michael		P	FL06	2025	1/23/2025	20026639
	Washington Soviegn	Emelia Rosie		C	IL07	2025	2/17/2025	10063297
Hon.	Wasserman Schultz	Debbie		P	FL25	2025	3/6/2025	20027912
Mr.	Weland	Jason Patrick		W	CA05	2025	3/3/2025	8002
Hon.	Wenstrup	Brad R.		T	OH02	2025	3/4/2025	10063304
Hon.	Wenstrup	Brad R.		X	OH02	2025	1/30/2025	30022488
Hon.	Wexton	Jennifer		X	VA10	2025	1/22/2025	30022478
	Wied	Tony		P	WI08	2025	2/10/2025	8220757
	Wied	Tony		P	WI08	2025	3/14/2025	8220799
	Wied	Tony		P	WI08	2025	4/4/2025	8220824
Hon.	Wild	Susan		X	PA07	2025	1/15/2025	30022473
Hon.	Williams	Brandon McDonald		X	NY22	2025	1/24/2025	30022483
	Williams	John-Samuel Etheridge		C	CA51	2025	1/31/2025	10063319
Hon.	Williams	Roger		P	TX25	2025	3/1/2025	20027867
Hon.	Yakym	Rudy C.	III	P	IN02	2025	1/28/2025	20026666
